,FIPS,NERC Region
1414,06069,WECC
1415,06091,WECC
1416,06093,WECC
1417,06105,WECC
1418,06115,WECC
1419,08005,WECC
1420,08007,WECC
1421,08009,WECC
1422,08011,WECC
1423,08015,WECC
1424,08017,WECC
1425,08019,WECC
1426,08021,WECC
1427,08023,WECC
1428,08025,WECC
1429,08027,WECC
1430,08029,WECC
1431,08033,WECC
1432,08035,WECC
1433,08039,WECC
1434,08043,WECC
1435,08047,WECC
1436,08049,WECC
1437,08051,WECC
1438,08053,WECC
1439,08055,WECC
1440,08057,WECC
1441,08061,WECC
1442,08065,WECC
1443,08067,WECC
1444,08075,WECC
1445,08079,WECC
1446,08083,WECC
1447,08091,WECC
1448,08093,WECC
1449,08095,WECC
1450,08097,WECC
1451,08103,WECC
1452,08105,WECC
1453,08109,WECC
1454,08111,WECC
1455,08113,WECC
1456,08115,WECC
1457,08117,WECC
1458,08119,WECC
1459,08121,WECC
1460,08125,WECC
1461,12003,SERC
1462,12007,SERC
1463,12013,SERC
1464,12015,SERC
1465,12019,SERC
1466,12021,SERC
1467,12023,SERC
1468,12027,SERC
1469,12029,SERC
1470,12035,SERC
1471,12037,SERC
1472,12039,SERC
1473,12041,SERC
1474,12043,SERC
1475,12045,SERC
1476,12053,SERC
1477,12059,SERC
1478,12061,SERC
1479,12063,SERC
